most enjoyable part of the job is new learnings,3
Friendly managers and transparency is good in Capgemini.,4
It has all the good qualities one can have from his job. Perfect place to work provided me with full motivation but I need to change my city and thus looking forward,3
This is the first job so learn many thing like how to work with team and how to achieve the target and also increase the communication skills. Alwasy we work as team.,4
"Rewards and Recognition occurs every month to Motivate associates... Working environment is Friendly. Refresh Process training will be scheduled whenever there is an Update. Hi, thank you for your review. We are pleased to hear that you are having a great experience at HGS. We at HGS are always striving towards success and we are glad that you see the value in it as well! We wish you all the best:",3
"Amazon is doing lots of cool stuff. 've been at Amazon for a month now, and I've seen none of the horror stories being communicated to the public, although Amazon is a large enough company that I'm sure there are good pockets and bad pockets. Everyone here is really smart and wants to succeed both personally, and as a company. People collaborate and help each other, focus on data, and truly focus on the customer. Every company I've ever worked for …",4
Meeting people from all over the world and helpin them is such a lively thing in hsbc. All the employees are amicable and ready to adapt new cultures into their lives.,4
worst ever experience no ethics followed my the managers and policies are just to deny the employee from their request. nothing is expected from you .,1
"We had been to team's annual party celebration to a resort, where we had a very nice lunch and played lots of games, had many programs and competition events and entire team had lots of fun.",4
"Learnt New Technologies like APP V,MAC OS x,windows 8.1",5
"Worst working hours during Quarter end, I have worked 22 hrs continuously.",2
"Reliance Industries is the largest refinery in India , so experience wise you can learn much more from your group members as they are more experienced persons , They provide you all the accommodation & free work environment",4
The hardest job for me to do nothing and not having any work.,2
"I am very sincere about my work . I handle different teams in different type of projects.I wish to learn and work on new technologies. I learned a lot from different projects. I understand the client handling , work load management , time management and also taking interviews for project management. The most enjoyable part of job is when we achieve something which is not expected by client also and they are impressed. Go live the project successfully is also enjoyable part of project.",2
Very good work life balance. Provided a great opportunity to employees which aligned with career goals and leadership was very helpful in guiding employees.,3
No overtime perks,0
"good management, I learnt a lot from the colleagues about the technology and enjoyed at workplace.",4
Friendly and cool working environment that makes you comfortable. More a learning experience and you get a lot of opportunities to explore. All the senior management are approachable and helpful.,3
HSBC has been my first multi-national Company that i got associated with. It taught me how the Multi-nationals operate and how broad their scope is. The field is huge and the domains are many. My learning curve was improving day by day as i was getting involved more in process.,5
The work place is so greenary and the campus seems like a green park. Everything needed will get inside campus and the best part is the playgrounds.,3
I had good opportunity to be part of an upcoming development project and was given good knowledge in the technical aspect of things in the company.,5
Best place to work which cab balance your career growth and personal growth.,2
Management helpful nice place for growth..nice work culture..salaries on time..promotion chances are at good level..cooperative management and staff memmbers..,6
"Airtel india pvt lts is a leading global telecommunication  company with operations in 20 countries Asia and Africa.Products offering mobile commerce, fixed line services ,IPTV,DTH,including national and international .The environment is very homely.Team work is very good.There is timely and transparent communication between management and employees in all areasI have learned work as well as tact and leadership skills with the team members and team leads.",5
"I have learnt a lot while working in the bank , this job help me to develop or improve my communication skill while dealing with the customer and also increase my confidence which help me in achieving higher position in future.",5
hdfc bank i typically user friendly system access for employee.learn lot in this 4 yrs experience.josh unlimited games competion are giving fresh enery on time.,4
workplace culture is excellent where the employee work as a team and keep their ego aside and work together to achieve the targets,3
